 GPEC_SINGFLD: Resonant fields, singular currents, and islands
 v1.4.4
 
    jac_out = hamada     tmag_out = 1
 sweet-spot =  5.00000000E-004
      msing =    9
 
      q              psi    real(singflx)    imag(singflx)    real(singcur)    imag(singcur)    real(singbwp)    imag(singbwp)      real(Delta)      imag(Delta)     islandhwidth         chirikov
  1.500  3.86834871E-001  4.00957761E-005  6.30381933E-006  1.07415417E+002  1.68877484E+001 -2.39979234E-007  2.71207258E-008 -9.26276117E-004 -1.45628239E-004  1.11771664E-002  9.92590024E-002
  2.000  6.12047015E-001  4.48940668E-005 -1.42051208E-006  1.23521478E+002 -3.90839514E+000 -4.39434983E-007  9.76303778E-008 -1.44924364E-003  4.58561284E-005  9.33660241E-003  1.45144306E-001
  2.500  7.40699701E-001  3.74491451E-005 -9.29927507E-006  9.69605915E+001 -2.40770038E+001 -3.75265862E-007  1.97874527E-007 -1.75370530E-003  4.35475575E-004  7.53927096E-003  1.68490079E-001
  3.000  8.30191866E-001  3.44325531E-005 -1.16558665E-005  8.33153113E+001 -2.82033150E+001 -3.67362704E-007  2.35827475E-007 -2.29890408E-003  7.78208890E-004  6.40680788E-003  2.09041679E-001
  3.500  8.91488808E-001  3.61058530E-005 -1.52868791E-005  8.14236489E+001 -3.44740082E+001 -3.98912450E-007  2.76916986E-007 -3.46720807E-003  1.46798334E-003  5.57930895E-003  2.84150970E-001
  4.000  9.30758841E-001  2.48463041E-005 -1.96498219E-005  5.20559121E+001 -4.11686744E+001 -2.34535082E-007  3.81324605E-007 -3.58728989E-003  2.83702588E-003  4.01348120E-003  2.76276757E-001
  4.500  9.59812905E-001  1.42597802E-006  2.05542370E-006  2.79705096E+000  4.03170650E+000  7.12915464E-008  3.99492308E-008 -3.15620049E-004 -4.54938942E-004  1.41485300E-003  1.00970557E-001
  5.000  9.87837965E-001  9.04527606E-005  3.11896906E-005  1.68966876E+002  5.82627279E+001 -1.15721086E-006 -3.37776453E-007 -3.15509194E-002 -1.08793077E-002  4.35919343E-003  1.22502059E+000
  5.500  9.94954896E-001  1.54019777E-004  6.67132933E-005  2.66836701E+002  1.15579670E+002 -1.20379110E-006 -2.90653302E-007 -1.11201039E-001 -4.81664607E-002  3.67505713E-003  1.03276460E+000
 
