 GPEC_SINGFLD: Resonant fields, singular currents, and islands
 v1.4.4
 
    jac_out = hamada     tmag_out = 1
 sweet-spot =  5.00000000E-004
      msing =    9
 
      q              psi    real(singflx)    imag(singflx)    real(singcur)    imag(singcur)    real(singbwp)    imag(singbwp)      real(Delta)      imag(Delta)     islandhwidth         chirikov
  1.500  3.86834871E-001  4.09425969E-005 -4.04719429E-006  1.09684025E+002 -1.08423157E+001 -2.48800525E-007 -1.15002718E-008 -9.45839022E-004  9.34966166E-005  1.12531677E-002  9.99339334E-002
  2.000  6.12047015E-001  4.61620153E-005 -8.88809346E-007  1.27010110E+002 -2.44546890E+000 -4.59310069E-007 -3.40200919E-008 -1.49017480E-003  2.86920161E-005  9.46604069E-003  1.47156518E-001
  2.500  7.40699701E-001  3.96077510E-005 -1.77408457E-007  1.02549496E+002 -4.59333020E-001 -4.08714019E-007 -3.87972284E-008 -1.85479062E-003  8.30785725E-006  7.63843076E-003  1.70706134E-001
  3.000  8.30191866E-001  3.72158269E-005  2.22074308E-007  9.00499070E+001  5.37345868E-001 -4.12896945E-007 -4.07976053E-008 -2.48473054E-003 -1.48268858E-005  6.48255042E-003  2.11513010E-001
  3.500  8.91488808E-001  3.95464560E-005 -1.01121741E-006  8.91826803E+001 -2.28043390E+000 -4.51649788E-007 -2.97545656E-008 -3.79760565E-003  9.71061718E-005  5.60420485E-003  2.85418904E-001
  4.000  9.30758841E-001  3.13811218E-005 -5.70022711E-006  6.57471192E+001 -1.19426423E+001 -3.39354926E-007  6.05802457E-008 -4.53078174E-003  8.22994318E-004  4.02722238E-003  2.77222661E-001
  4.500  9.59812905E-001  9.90194658E-007  1.07702416E-006  1.94226340E+000  2.11257918E+000  6.17176527E-008 -2.19166186E-008 -2.19165571E-004 -2.38384054E-004  1.08199790E-003  7.72164538E-002
  5.000  9.87837965E-001  7.98006286E-005  4.95531129E-005  1.49068562E+002  9.25658280E+001 -1.02181359E-006 -6.90867393E-007 -2.78353385E-002 -1.72846717E-002  4.31926235E-003  1.21379915E+000
  5.500  9.94954896E-001  1.28093558E-004  6.97871987E-005  2.21919957E+002  1.20905160E+002 -1.03521678E-006 -5.72426134E-007 -9.24825175E-002 -5.03857956E-002  3.42602518E-003  9.62781634E-001
 
